registration,price,mileage,model_year,version,color,fuel_type,drive_wheels,electric_type,transmission,engine_power,engine_name,body_type,location,url,scrape_date
YMF477,229900,122300,2017,D4 AWD Classic Summum 190hk Värmare Navi VOC,Silver,Diesel,Fyrhjulsdrift,,Automat,190 hk,,,ARÖD,https://www.bilia.se/bilar/sok-bil/volvo/xc60/ymf477/,2026-01-13
UFG89P,379900,73700,2023,"B5 AWD Bensin Core, Navigation, P-Sensorer bak",Röd,Bensin,Fyrhjulsdrift,,Automat,250 hk,,,ESKILSTUNA,https://www.bilia.se/bilar/sok-bil/volvo/xc60/ufg89p/,2026-01-13
GZA36X,636900,0,2026,Ny T6 Plus Dark Nordic Edition,Vit,Bensin+El,Fyrhjulsdrift,Laddhybrid,Automat,350 hk,,,KUNGÄLV,https://www.bilia.se/bilar/sok-bil/volvo/xc60/gza36x/,2026-01-13
WDJ00R,454000,53120,2023,Recharge T6 Core Edition/ Panorama/ Navi/ Kamera,Svart,Bensin+El,Fyrhjulsdrift,Laddhybrid,Automat,350 hk,,,BILIA HAGA NORRA VOLVO,https://www.bilia.se/bilar/sok-bil/volvo/xc60/wdj00r/,2026-01-13
LWU291,219900,135830,2016,,Svart,Diesel,Fyrhjulsdrift,,Automat,190 hk,,,SISJÖN,https://www.bilia.se/bilar/sok-bil/volvo/xc60/lwu291/,2026-01-13
PCC64M,219900,254790,2019,D4 AWD Momentum 190hk Drag B-kamera Navi Värmare,Svart,Diesel,Fyrhjulsdrift,,Automat,190 hk,,,ARÖD,https://www.bilia.se/bilar/sok-bil/volvo/xc60/pcc64m/,2026-01-13
RCD72A,659900,0,2026,Ny T6 Plus Dark Nordic Edition,Vit,Bensin+El,Fyrhjulsdrift,Laddhybrid,Automat,350 hk,,,JÄGERSRO,https://www.bilia.se/bilar/sok-bil/volvo/xc60/rcd72a/,2026-01-13
NHX59N,629900,0,2026,Ny T6 Plus Dark Nordic Edition,Silver,Bensin+El,Fyrhjulsdrift,Laddhybrid,Automat,350 hk,,,KUNGÄLV,https://www.bilia.se/bilar/sok-bil/volvo/xc60/nhx59n/,2026-01-13
PZW00L,379900,197060,2023,Recharge T6 Core Edition,Svart,Bensin+El,Fyrhjulsdrift,Laddhybrid,Automat,350 hk,,,ESKILSTUNA,https://www.bilia.se/bilar/sok-bil/volvo/xc60/pzw00l/,2026-01-13
RCN57A,529900,59670,2023,,Svart,Bensin+El,Fyrhjulsdrift,Laddhybrid,Automat,456 hk,,,NACKA,https://www.bilia.se/bilar/sok-bil/volvo/xc60/rcn57a/,2026-01-13
HNW02N,689900,9990,2026,"T6 Plus Dark Nordic Edition, on call, Navigation, Taklucka",Grön,Bensin+El,Fyrhjulsdrift,Laddhybrid,Automat,350 hk,,,SISJÖN,https://www.bilia.se/bilar/sok-bil/volvo/xc60/hnw02n/,2026-01-13
FLR68C,399900,123520,2022,Recharge T8 R-Design,Blå,Bensin+El,Fyrhjulsdrift,Laddhybrid,Automat,392 hk,,,ESKILSTUNA,https://www.bilia.se/bilar/sok-bil/volvo/xc60/flr68c/,2026-01-13
RBA25F,449900,59950,2024,Recharge T6 AWD Core Edition 350hk Panorama Drag Navi,Grå,Bensin+El,Fyrhjulsdrift,Laddhybrid,Automat,350 hk,,,ARÖD,https://www.bilia.se/bilar/sok-bil/volvo/xc60/rba25f/,2026-01-13
LEN37J,519900,53970,2024,Recharge T6 Plus Dark Edition.,Grå,Bensin+El,Fyrhjulsdrift,Laddhybrid,Automat,350 hk,,,ESKILSTUNA,https://www.bilia.se/bilar/sok-bil/volvo/xc60/len37j/,2026-01-13
TMR76L,509900,61510,2021,,Vit,Bensin+El,Fyrhjulsdrift,Laddhybrid,Automat,405 hk,,,VÄRNHEM,https://www.bilia.se/bilar/sok-bil/volvo/xc60/tmr76l/,2026-01-13
