Reg. Nr,Actual Price,Predicted Price,Discount %,Discount SEK,Year,Mileage (km),HP,Engine,Fuel,Drive,Model Variant
OWD647,124900,151957,17.8,19103,2016,256850,190.0,D4,Diesel,AWD,D4 AWD Ocean Race BE PRO 190hk Panorama Navi P-värm
LEZ51E,399500,471064,15.2,79249,2021,74350,391.0,T8,Plugin Hybrid,AWD,Inscription T | Dragkrok | Harman Kardon |
TFM51U,379500,446521,15.0,74130,2023,61500,250.0,B5,Mild Hybrid,AWD,B5 AWD Bensin Core
YWY521,319900,373949,14.5,62367,2018,143150,408.0,T8,Plugin Hybrid,AWD,
RON05T,329500,384134,14.2,64950,2020,102110,391.0,T8,Plugin Hybrid,FWD,Momentum T8 TE Adwanced
ZFA527,284800,329778,13.6,43753,2018,100950,250.0,T5,Petrol,AWD,T5 II AWD Business Advanced NAV
LHS92D,299000,344070,13.1,38359,2020,119030,197.0,B4,Mild Hybrid,AWD,B4 AWD Diesel Momentum Advanced Edt
EOJ65M,349900,402470,13.1,62892,2020,123000,392.0,T8,Plugin Hybrid,AWD,T8 TE Inscription
AFR03D,484900,557606,13.0,74105,2025,20120,349.0,T6,Plugin Hybrid,AWD,T6 Core Nordic Edition
JBF54K,489900,562528,12.9,74864,2025,15350,349.0,T6,Plugin Hybrid,AWD,T6 Core Nordic Edition
UFG89P,379900,435432,12.8,59530,2023,73700,250.0,B5,Mild Hybrid,AWD,"B5 AWD Bensin Core, Navigation, P-Sensorer bak"
GDP79S,379800,434668,12.6,73350,2022,131580,391.0,T8,Plugin Hybrid,AWD,Recharge T8 Insc. B-Kamera H/K panorama
OJP06D,454900,519207,12.4,63827,2025,55430,349.0,T6,Plugin Hybrid,AWD,T6 Core Special Edition
DCG77A,389900,442411,11.9,56766,2023,66700,250.0,B5,Mild Hybrid,AWD,B5 AWD Bensin Core
UHT99P,369900,418322,11.6,46828,2023,105380,252.0,T6,Plugin Hybrid,AWD,"Recharge T6 Core Edition, Dragkrok, Panoramaglastak"
GJR01Z,499900,564036,11.4,69740,2025,12570,349.0,T6,Plugin Hybrid,AWD,T6 Core Special Edition (SELEKT)
RBR00G,379000,427268,11.3,48173,2023,95800,252.0,T6,Plugin Hybrid,AWD,Recharge T6 Core Edition
MHK48M,479900,539981,11.1,59711,2025,36670,349.0,T6,Plugin Hybrid,AWD,T6 Core Special Edition
WRA45R,398900,448585,11.1,51069,2024,102620,349.0,T6,Plugin Hybrid,AWD,Recharge T6 Core Edition
EMZ76J,379000,425567,10.9,50517,2023,83550,250.0,B5,Mild Hybrid,AWD,B5 AWD Bensin Core
FBF26A,429900,481948,10.8,60294,2024,53670,250.0,B5,Mild Hybrid,AWD,B5 AWD Bensin Core
CJY53Z,419000,469360,10.7,49675,2023,54990,252.0,T6,Plugin Hybrid,AWD,Recharge T6 Core Edition
CMZ54E,369000,412314,10.5,44770,2023,110250,252.0,T6,Plugin Hybrid,AWD,Recharge T6 Core Edition
GRP66X,419500,468395,10.4,59442,2024,65590,250.0,B5,Mild Hybrid,AWD,B5 AWD Bensin Core
YCP12P,499900,557895,10.4,62440,2025,18580,349.0,T6,Plugin Hybrid,AWD,T6 Core Edition H/K PANORAMA
TJH66K,379800,423806,10.4,56614,2020,60080,391.0,T8,Plugin Hybrid,FWD,Momentum T8 TE
STT87C,467900,522076,10.4,56283,2025,51780,349.0,T6,Plugin Hybrid,AWD,T6 Core Edition
LHP74G,494900,551978,10.3,60651,2025,24260,349.0,T6,Plugin Hybrid,AWD,T6 Core Edition H/K PANORAMA
WBA92X,469500,523587,10.3,54898,2024,32650,349.0,T6,Plugin Hybrid,AWD,Recharge T6 II Core Edition
JLE39N,354900,395148,10.2,53023,2020,89500,391.0,T8,Plugin Hybrid,FWD,T8 TE Momentum Edition
FLR68C,399900,444820,10.1,58611,2022,123520,391.0,T8,Plugin Hybrid,AWD,Recharge T8 R-Design
TMO938,359900,400279,10.1,31656,2022,108890,340.0,T6,Plugin Hybrid,AWD,Recharge T6 Inscription Expression
BDP12R,467900,520020,10.0,54276,2025,53620,349.0,T6,Plugin Hybrid,AWD,T6 Core Edition
PYT303,174800,194171,10.0,-1075,2017,173000,190.0,D4,Diesel,FWD,D4 Classic Momentum DRAG
DXX50F,474500,527002,10.0,53748,2024,29340,349.0,T6,Plugin Hybrid,AWD,Recharge T6 II Core Edition (NAV/KAMERA)
OJL06T,499900,553572,9.7,57457,2025,22740,349.0,T6,Plugin Hybrid,AWD,T6 Core Special Edition (SELEKT) LJUSPKT DRAG
WGD89A,389000,430650,9.7,54009,2021,111580,391.0,T8,Plugin Hybrid,AWD,Inscription T
RZH977,283000,313142,9.6,29767,2018,138100,190.0,D4,Diesel,AWD,D4 AWD Business Advanced MA 18'
KGN19G,429900,475614,9.6,55724,2021,69110,391.0,T8,Plugin Hybrid,AWD,Inscription T
CRA06X,399900,442021,9.5,38640,2023,82580,252.0,T6,Plugin Hybrid,AWD,Recharge T6 Core Edition
JGJ02H,479900,529501,9.4,51209,2024,26900,349.0,T6,Plugin Hybrid,AWD,Recharge T6 Core Edition
PSW00E,379000,418047,9.3,39839,2023,104700,252.0,T6,Plugin Hybrid,AWD,Recharge T6 Core Edition -DRAG!
HMJ80G,329000,362726,9.3,23937,2021,123120,341.0,T6,Plugin Hybrid,AWD,Recharge T6 Inscr Expression T - PANO/DRAG!
HHL95F,499900,551010,9.3,54562,2025,25180,349.0,T6,Plugin Hybrid,AWD,T6 Core Special Edition (SELEKT)
PXR54B,509900,561640,9.2,56859,2025,14930,349.0,T6,Plugin Hybrid,AWD,T6 Core Nordic Edition (SELEKT)
WBY76U,504900,555418,9.1,54570,2025,20970,349.0,T6,Plugin Hybrid,AWD,T6 Core Edition H/K PANORAMA (SELEKT)
COR00Z,519000,570869,9.1,54786,2023,33940,455.0,T8,Plugin Hybrid,AWD,Recharge T8 AWD Plus Dark/360-Kamera/Drag/
GBR67J,509900,560741,9.1,55789,2025,15810,349.0,T6,Plugin Hybrid,AWD,T6 Core Nordic Edition Dragkrok (SELEKT)
OFG60S,474900,522144,9.0,47892,2024,34040,349.0,T6,Plugin Hybrid,AWD,Recharge T6 Core Edition (SELEKT)
LDR81L,509900,560471,9.0,50822,2023,44130,455.0,T8,Plugin Hybrid,AWD,Recharge T8 Plus Dark Läder Pano B-Kamera
CBW23H,464500,510515,9.0,45754,2024,45090,349.0,T6,Plugin Hybrid,AWD,Recharge T6 II Core Edition * OUTLET *
YRM450,169400,186092,9.0,5522,2017,179000,149.0,D3,Diesel,FWD,D3 Classic Momentum
AJU832,249900,274415,8.9,26317,2018,187580,190.0,D4,Diesel,AWD,D4 AWD Business Advanced DRAGKROK
DLM64X,419900,460959,8.9,50309,2022,111060,456.0,T8,Plugin Hybrid,AWD,Recharge T8 AWD Inscription | Navi | B&W | Pano | 360°
RRB09D,514900,565246,8.9,56212,2025,11370,349.0,T6,Plugin Hybrid,AWD,T6 Core Edition H/K PANORAMA (SELEKT)
RAU390,479500,526380,8.9,45166,2024,31140,349.0,T6,Plugin Hybrid,AWD,Recharge T6 Core Edition / Panorama/ Backkamera / Ljuspaket * SUPERDEAL *
WCF49D,589900,647176,8.9,64121,2026,1430,349.0,T6,Plugin Hybrid,AWD,T6 Core Nordic Edition
NSK12N,499900,548399,8.8,51651,2025,27650,349.0,T6,Plugin Hybrid,AWD,T6 Core Edition
OJA81B,509900,559347,8.8,54142,2025,17170,349.0,T6,Plugin Hybrid,AWD,T6 Core Edition (SELEKT) 0% RÄNTA
MFC48A,349000,382674,8.8,37571,2023,140270,252.0,T6,Plugin Hybrid,AWD,Recharge T6 Core Edition
JZR03N,589800,646428,8.8,60131,2026,3500,349.0,T6,Plugin Hybrid,AWD,T6 Core Nordic Edition - Demobil
PXG44L,359900,394393,8.7,36277,2023,128660,252.0,T6,Plugin Hybrid,AWD,Recharge T6 Core Edition DRAG
DNS13T,509900,558637,8.7,53308,2025,17860,349.0,T6,Plugin Hybrid,AWD,T6 Core Nordic Edition PANORAMA DRAG
FEW18P,589900,645820,8.7,59302,2026,4090,350.0,T6,Plugin Hybrid,AWD,T6 Plus Bright Nordic Edition
NZR59N,489900,536282,8.6,48640,2025,38910,349.0,T6,Plugin Hybrid,AWD,T6 Core Special Edition
JBF94A,509900,557502,8.5,51982,2025,18960,349.0,T6,Plugin Hybrid,AWD,T6 Core Edition H/K PANORAMA (SELEKT)
FRJ013,369000,403289,8.5,36953,2023,119030,252.0,T6,Plugin Hybrid,AWD,Recharge T6 Core Edition - DRAG!
PMP71X,514900,562718,8.5,53151,2025,13870,349.0,T6,Plugin Hybrid,AWD,T6 Core Edition H/K PANORAMA (SELEKT)
RDS960,229000,250146,8.5,28858,2017,114100,190.0,D4,Diesel,AWD,D4 AWD Classic Momentum
RNU05G,289900,316564,8.4,26685,2019,129000,190.0,D4,Diesel,AWD,D4 AWD Momentum Advanced SE
BWT75M,519900,566911,8.3,53257,2025,9710,349.0,T6,Plugin Hybrid,AWD,T6 Core Nordic Edition
HNR02A,509900,555980,8.3,47237,2025,21680,349.0,T6,Plugin Hybrid,AWD,T6 Core Edition
UHY48A,289900,315945,8.2,34855,2023,161790,250.0,B5,Mild Hybrid,FWD,B5 Bensin Core
RBA25F,454900,495708,8.2,37657,2024,59950,350.0,T6,Plugin Hybrid,AWD,Recharge T6 AWD Core Edt 350hk Panorama Drag Navi
LFY61C,289800,315665,8.2,29505,2021,166730,197.0,B4,Mild Hybrid,AWD,B4 AWD Diesel Momentum Advanced SE
MJA61S,479900,522618,8.2,40579,2024,34760,349.0,T6,Plugin Hybrid,AWD,Recharge T6 II Core Edition
LLA107,159900,173929,8.1,16482,2015,174740,181.0,B4,Diesel,AWD,
OKY24N,388900,423010,8.1,40560,2023,85110,250.0,B5,Mild Hybrid,AWD,B5 AWD Bensin Core
RAD89W,344500,374610,8.0,35620,2023,148370,252.0,T6,Plugin Hybrid,AWD,Recharge T6 Core Edition | Dragkrok | Läderklädsel | Elstolar
YNP42Z,489000,531683,8.0,44795,2025,43110,349.0,T6,Plugin Hybrid,AWD,T6 AWD Core Special Edition//Dragkrok//
PLE44X,339900,369567,8.0,36249,2023,153490,252.0,T6,Plugin Hybrid,AWD,Recharge T6 Core Edition Drag B-Kam
KHW30E,359900,391309,8.0,25886,2022,117000,341.0,T6,Plugin Hybrid,AWD,Recharge T6 Inscription Expression DRAG PANORAMA
YLT92Z,369900,402173,8.0,32814,2023,121040,252.0,T6,Plugin Hybrid,AWD,Recharge T6 Core Edition
JAZ41J,509900,554157,8.0,48125,2025,22180,349.0,T6,Plugin Hybrid,AWD,T6 Core Edition
WAY92K,479000,520561,8.0,42043,2024,35560,349.0,T6,Plugin Hybrid,AWD,Recharge T6 Core Edition
RSU66A,349000,379257,8.0,34822,2023,143690,252.0,T6,Plugin Hybrid,AWD,Recharge T6 Core Edition
UMP62B,514900,559378,8.0,49178,2025,17140,349.0,T6,Plugin Hybrid,AWD,T6 Core Edition H/K PANORAMA (SELEKT)
UXP63A,509900,553750,7.9,47660,2025,22570,349.0,T6,Plugin Hybrid,AWD,T6 Core Edition H/K PANORAMA
MFJ01G,419000,454966,7.9,34753,2023,69060,252.0,T6,Plugin Hybrid,AWD,Recharge T6 Core Edition
KBP05K,514900,558926,7.9,48646,2025,17580,349.0,T6,Plugin Hybrid,AWD,T6 Core Edition
ASU024,124900,135564,7.9,-14280,2015,243070,181.0,D4,Diesel,FWD,D4 Ocean Race BE 181hk P-värm PDC Rattvärm
OGS23N,529000,574143,7.9,50090,2025,3750,349.0,T6,Plugin Hybrid,AWD,T6 Core Special Edition/ SELEKT
WAC56X,419000,454719,7.9,34504,2023,69300,252.0,T6,Plugin Hybrid,AWD,Recharge T6 Core Edition
KLP09F,514900,558297,7.8,47910,2025,18190,349.0,T6,Plugin Hybrid,AWD,T6 Core Edition H/K PANORAMA (SELEKT)
JAA70K,399000,432426,7.7,32938,2023,90830,252.0,T6,Plugin Hybrid,AWD,Recharge T6 Core Edition
SMS97B,479000,519024,7.7,44373,2022,58000,391.0,T8,Plugin Hybrid,AWD,Recharge T8 R-Design
RAH04K,389900,422359,7.7,38920,2023,85760,250.0,B5,Mild Hybrid,AWD,B5 AWD Bensin Core | Klimatpaket |
WBY21M,519900,562850,7.6,48310,2025,13740,349.0,T6,Plugin Hybrid,AWD,T6 Core Nordic Edition
WDP85S,514900,557316,7.6,46766,2025,19140,349.0,T6,Plugin Hybrid,AWD,T6 Core Edition H/K PANORAMA (SELEKT)
YFP44E,509900,551800,7.6,45450,2025,24430,349.0,T6,Plugin Hybrid,AWD,T6 Core Edition H/K PANORAMA
XMH50K,289000,312692,7.6,26996,2020,130840,250.0,T5,Petrol,AWD,T5 AWD Momentum Advanced SE II / Xvision ljusramp / kamera
RAD03S,429000,464117,7.6,34138,2023,60140,252.0,T6,Plugin Hybrid,AWD,Recharge T6 Core Edition
BAP13F,514900,557047,7.6,46453,2025,19400,349.0,T6,Plugin Hybrid,AWD,T6 Core Edition H/K (SELEKT)
DTL34H,684000,739839,7.5,41689,2026,8500,455.0,T8,Plugin Hybrid,AWD,T8 Plus Black Nordic Edition
CSP01X,419900,454025,7.5,43698,2023,61580,197.0,B4,Mild Hybrid,AWD,B4 AWD Diesel Core
XXR32T,489000,528563,7.5,41630,2025,45940,349.0,T6,Plugin Hybrid,AWD,T6 Core Special Edition
FDB36K,459000,496026,7.5,40034,2023,28080,252.0,T6,Plugin Hybrid,AWD,Recharge T6 Core Edition
ZUD413,319000,344656,7.4,17536,2021,142830,341.0,T6,Plugin Hybrid,AWD,Recharge T6 Inscr Expression T
CWP04K,514900,556280,7.4,45565,2025,20140,349.0,T6,Plugin Hybrid,AWD,T6 Core Edition H/K PANORAMA (SELEKT)
KPU26W,395000,426609,7.4,27869,2023,99920,350.0,T6,Plugin Hybrid,AWD,Recharge T6 Core Edition
JAB69D,399000,430910,7.4,31530,2023,92290,252.0,T6,Plugin Hybrid,AWD,Recharge T6 Core Edition
NEH12N,424900,458412,7.3,32347,2023,65710,252.0,T6,Plugin Hybrid,AWD,Recharge T6 Core Edition
DWJ97T,494900,533877,7.3,41147,2025,41110,349.0,T6,Plugin Hybrid,AWD,T6 Core Special Edition (SELEKT)
DWT34D,519900,560813,7.3,45874,2025,15740,349.0,T6,Plugin Hybrid,AWD,T6 Core Nordic Edition
YNE171,299500,323065,7.3,27086,2019,62000,250.0,T5,Petrol,FWD,T5 Momentum Edition | Dragkrok |
JBL77W,599900,646751,7.2,53629,2026,1820,349.0,T6,Plugin Hybrid,AWD,"XC60 Core, T6 AWD Laddhybrid, El-/Bensin"
GDE87C,319500,344346,7.2,28078,2019,77530,250.0,T5,Petrol,AWD,Momentum T5
CXX49G,504900,543661,7.1,41470,2025,32090,349.0,T6,Plugin Hybrid,AWD,T6 Core Special Edition (SELEKT)
NDP06W,509900,548759,7.1,42051,2025,27310,349.0,T6,Plugin Hybrid,AWD,T6 Core Edition 360 H/K PANORAMA
RRB09F,509900,548717,7.1,42004,2025,27350,349.0,T6,Plugin Hybrid,AWD,T6 Core Edition H/K PANORAMA
PLW215,289500,311517,7.1,21649,2018,140090,190.0,D4,Diesel,AWD,"D4 AWD Business Advanced, Teknikpaket, Klimatpaket, Parkeringskamera Bak, Bakluc"
NHF49E,439900,473196,7.0,32906,2023,51200,252.0,T6,Plugin Hybrid,AWD,Recharge T6 Core Edition | Drag
LKP37Y,514900,553865,7.0,42791,2025,22460,349.0,T6,Plugin Hybrid,AWD,T6 Core Edition H/K PANORAMA (SELEKT)
TLP04N,509900,548441,7.0,41698,2025,27610,349.0,T6,Plugin Hybrid,AWD,T6 Core Edition 360 H/K (SELEKT)
ODJ40Z,359000,385997,7.0,30266,2023,136960,252.0,T6,Plugin Hybrid,AWD,Recharge T6 Core Edition
ERW00T,579500,622974,7.0,42615,2024,18090,455.0,T8,Plugin Hybrid,AWD,Recharge T8 Ultimate Bright | 360° | H&K | HUD |
KHJ79D,254800,273862,7.0,18822,2020,204970,197.0,B4,Mild Hybrid,AWD,B4 AWD Diesel Momentum Advanced Edt
EFG66E,329500,354016,6.9,17993,2020,107700,197.0,B4,Mild Hybrid,AWD,B4 AWD Diesel Momentum Advanced Edt/ 360 Kamera /Elstol /H/K * SUPERDEAL *
DGC16J,379100,407147,6.9,30171,2023,115270,252.0,T6,Plugin Hybrid,AWD,Recharge T6 Core Edition
WZS84S,519000,557368,6.9,42726,2025,19090,349.0,T6,Plugin Hybrid,AWD,T6 Core Nordic Edition
FWA04C,409000,439036,6.8,29162,2023,84460,252.0,T6,Plugin Hybrid,AWD,Recharge T6 Core Edition
RGA29Y,605700,650181,6.8,48570,2026,60,349.0,T6,Plugin Hybrid,AWD,T6 Plus Dark Nordic Edition
POA33J,429900,461306,6.8,41338,2022,109150,392.0,T8,Plugin Hybrid,AWD,Recharge T8 AWD R-Design | B&W | Pano | Drag
WAD38P,399900,429102,6.8,26550,2023,95000,252.0,T6,Plugin Hybrid,AWD,Recharge T6 Core Edition
DKT23M,445000,477491,6.8,32517,2023,46930,252.0,T6,Plugin Hybrid,AWD,Recharge T6 Core Edition
HKC88K,429900,461120,6.8,30126,2023,63070,252.0,T6,Plugin Hybrid,AWD,Recharge T6 Core Edition
ZDD739,239900,257275,6.8,7589,2019,170050,190.0,D4,Diesel,FWD,D4 Momentum Edition//Drag//Harman Kardon//
GZL46C,389000,417168,6.8,25516,2023,108970,350.0,T6,Plugin Hybrid,AWD,Recharge T6 Core Edition / AWD / GOOGLE / PANORAMA
DSL50U,489300,524497,6.7,36118,2024,31770,349.0,T6,Plugin Hybrid,AWD,Recharge T6 Core Edition
PCP12W,519900,557099,6.7,41513,2025,19350,349.0,T6,Plugin Hybrid,AWD,T6 Core Edition
KNH16W,424900,455182,6.7,29071,2023,68850,252.0,T6,Plugin Hybrid,AWD,Recharge T6 Core Edition
JZP52P,509500,545652,6.6,39033,2025,30230,349.0,T6,Plugin Hybrid,AWD,T6 Core Special Edition
TMG59B,419900,449601,6.6,28502,2023,74260,252.0,T6,Plugin Hybrid,AWD,Recharge T6 Core Edition
MKP22F,599000,641266,6.6,45130,2026,8150,349.0,T6,Plugin Hybrid,AWD,T6 Plus Bright
PNB24R,399000,426604,6.5,27565,2023,96440,252.0,T6,Plugin Hybrid,AWD,Recharge T6 Core Edition
GOU498,299500,320199,6.5,14413,2018,163900,235.0,D5,Diesel,AWD,D5 AWD Inscription IB 19'
MWA32U,449900,480877,6.4,28545,2024,73440,349.0,T6,Plugin Hybrid,AWD,Recharge T6 Core Edition
DPK16A,324500,346660,6.4,35075,2020,142370,391.0,T8,Plugin Hybrid,FWD,Momentum T8 TE Adwanced
BCP13G,504900,539206,6.4,36710,2025,36220,349.0,T6,Plugin Hybrid,AWD,T6 Core Edition
XZP58P,514900,549860,6.4,38275,2025,26270,349.0,T6,Plugin Hybrid,AWD,"XC60 Core, T6 AWD Laddhybrid, El-/Bensin, Bright"
ZDS70U,409800,437487,6.3,24439,2023,86940,252.0,T6,Plugin Hybrid,AWD,Recharge T6 Core Edition
HYT47W,434900,464076,6.3,28195,2023,60180,252.0,T6,Plugin Hybrid,AWD,Recharge T6 Core Edition
YWY01U,509800,543892,6.3,35537,2022,36850,391.0,T8,Plugin Hybrid,AWD,Recharge T8 R-Design/Harman/Drag/Kamera/Värmare
HBK78J,509900,543897,6.3,36726,2025,31870,349.0,T6,Plugin Hybrid,AWD,T6 Core Edition
BTG82A,444900,474416,6.2,29235,2023,49990,252.0,T6,Plugin Hybrid,AWD,Recharge T6 Core Bright
URW00H,429500,457725,6.2,24475,2023,67420,252.0,T6,Plugin Hybrid,AWD,Recharge T6 Core Edition
SJM16G,269500,287193,6.2,18021,2019,165950,190.0,D4,Diesel,AWD,D4 AWD Momentum SE
PPX07B,369900,394019,6.1,37261,2023,80360,197.0,B4,Mild Hybrid,FWD,B4 Diesel Core
AMJ21X,409000,434934,6.0,18401,2022,73330,341.0,T6,Plugin Hybrid,AWD,Recharge T6 Inscription Expression
SBY87S,409000,434709,5.9,25072,2023,88630,252.0,T6,Plugin Hybrid,AWD,Recharge T6 Core Edition
CDJ87B,439500,466835,5.9,28670,2024,85150,349.0,T6,Plugin Hybrid,AWD,Recharge T6 II Core Edition
KRP02G,519900,552167,5.8,35865,2025,24080,349.0,T6,Plugin Hybrid,AWD,T6 Core Special Edition Drag / Pano (SELEKT)
SFC94G,609900,647726,5.8,35146,2025,16760,455.0,T8,Plugin Hybrid,AWD,T8 Ultra Bright Dragkrok / 21' (SELEKT)
BHN92J,359500,381783,5.8,26352,2023,141160,252.0,T6,Plugin Hybrid,AWD,Recharge T6 Core Ed./GPS/Kamera/Drag
ZTZ43U,449000,476719,5.8,27663,2023,47700,252.0,T6,Plugin Hybrid,AWD,Recharge T6 Core Edition
GZN20E,469900,498887,5.8,25809,2024,57000,349.0,T6,Plugin Hybrid,AWD,Recharge T6 II Core Edition
WCB03T,613000,650203,5.7,41295,2026,40,349.0,T6,Plugin Hybrid,AWD,T6 Core Nordic Edition
YRR787,259900,275625,5.7,11299,2019,165410,250.0,T5,Petrol,AWD,T5 AWD Mom Adv SE Skinn Kamera Teknikpkt VOC
JAL56H,449000,475887,5.6,27358,2024,76950,349.0,T6,Plugin Hybrid,AWD,Recharge T6 Core Edition
