Reg. Nr,Actual Price,Predicted Price,Discount %,Discount SEK,Year,Mileage (km),HP,Engine,Fuel,Drive,Model Variant
LMW82C,459500,473240,2.9,7809,2022,35220,341.0,T6,Plugin Hybrid,AWD,Recharge T6 Inscription Expr/ Nybesiktad/ Drag /
GWS46B,379500,390781,2.9,13686,2023,132220,252.0,T6,Plugin Hybrid,AWD,Recharge T6 Core Edition
GKM87K,414900,427181,2.9,4656,2022,81090,341.0,T6,Plugin Hybrid,AWD,Recharge T6 Inscription (SELEKT) DRAG
GJA03U,379900,391115,2.9,13562,2023,131890,252.0,T6,Plugin Hybrid,AWD,Recharge T6 Core Edition DRAG PANORAMA
DGP33X,469000,482785,2.9,11691,2023,42760,252.0,T6,Plugin Hybrid,AWD,Recharge T6 Core Edition
TEB540,199500,205350,2.8,-10282,2017,152050,190.0,D4,Diesel,FWD,D4 Classic Momentum
ODL14P,344900,354967,2.8,903,2021,131500,340.0,T6,Plugin Hybrid,AWD,Recharge T6 Inscription Expression/Panorama/AWD/Blis
WAB35K,439900,452602,2.8,8942,2023,72380,252.0,T6,Plugin Hybrid,AWD,Recharge T6 Core Edition
PCC64M,219900,226226,2.8,14918,2019,254790,190.0,D4,Diesel,AWD,D4 AWD Momentum 190hk Drag B-kamera Navi Värmare
JEM16F,729000,749880,2.8,3301,2026,2020,455.0,T8,Plugin Hybrid,AWD,T8 Plus Black Nordic Edition - Demo
EDC45J,459900,472665,2.7,9650,2023,52820,252.0,T6,Plugin Hybrid,AWD,Recharge T6 Core Edition
EWP03N,632900,650287,2.7,21457,2026,0,350.0,T6,Plugin Hybrid,AWD,"Ny T6 Plus Dark Nordic Edition, Lagerbil snabb leverans!"
CGS02D,639900,657422,2.7,15299,2025,8470,455.0,T8,Plugin Hybrid,AWD,"T8 Plus Dark 360, DRAG (SELEKT)"
WUN18G,324900,333598,2.6,21451,2021,124320,197.0,B4,Diesel,AWD,B4 AWD Diesel Momentum Adv SE 197hk Teknikpkt Navi H/K Drag
DXT13Y,624900,641226,2.5,22341,2026,6840,349.0,T6,Plugin Hybrid,AWD,"T6 Plus Dark Nordic Edition, Navigation, on call"
YNN641,239800,246049,2.5,12310,2017,120620,190.0,D4,Diesel,AWD,D4 AWD Classic Momentum
XEP04X,399500,409843,2.5,9792,2023,113580,252.0,T6,Plugin Hybrid,AWD,"Recharge T6 Core Edition, Motorstolspaket, Ljuspaket, Dragkrok halvautomatisk, P"
